NAME	DESCRIPTION	WT_Ctrl_rep_1	WT_Ctrl_rep_2	WT_Ctrl_rep_3	WT_Rap_rep_1	WT_Rap_rep_2	WT_Rap_rep_3	AP2_F_Ctrl_rep_1	AP2_F_Ctrl_rep_2	AP2_F_Ctrl_rep_3	AP2_F_Rap_rep_1	AP2_F_Rap_rep_2	AP2_F_Rap_rep_3
cgd8_2040-RA	na	3.779408455	3.010884513	3.010884513	4.242063963	4.142445442	3.010884513	3.76842451	3.997368832	3.010884513	3.719397979	5.151897008	5.364177671
cgd8_2050-RA	na	4.648067155	5.306845616	4.560125758	4.709538879	5.380587788	5.68039417	5.373672122	4.99056321	4.278934887	5.275335925	4.446703726	5.791462568
cgd8_2060-RA	na	5.395253729	5.705794666	5.90271311	5.58162849	4.768724174	5.20457829	5.485449284	4.577797821	5.396336689	5.071138554	4.721855065	4.754403979
cgd8_2080-RA	na	6.017229167	4.369463144	6.421382869	4.896527863	5.537911431	5.20457829	5.589185442	4.99056321	4.648976093	4.192457143	5.482753432	4.131405811
cgd8_2090-RA	na	4.648067155	4.369463144	4.202713186	4.896527863	4.768724174	4.89100757	5.449144043	5.31112632	5.578735597	5.454182522	5.623489969	5.521092207
cgd8_210-RA	na	5.739503338	5.705794666	4.560125758	5.210499987	5.679753584	5.20457829	4.812531402	3.010884513	4.278934887	5.275335925	4.446703726	4.754403979
cgd8_2100-RA	na	4.942228651	4.753531578	5.469128481	5.686780226	5.80889005	4.89100757	5.411901548	3.010884513	4.648976093	3.719397979	5.97831686	4.754403979
cgd8_2110-RA	na	4.942228651	3.010884513	4.202713186	5.062038298	3.684873515	3.932083313	4.629976465	3.997368832	3.010884513	4.548110207	4.446703726	5.521092207
cgd8_2120-RA	na	3.779408455	3.844513052	3.010884513	4.494653587	4.142445442	5.462014094	4.343925749	3.010884513	4.278934887	3.719397979	4.721855065	4.987482059
cgd8_2150-RA	na	5.577622184	5.056554028	4.560125758	5.962834376	5.537911431	5.68039417	6.091292966	5.794991581	5.88619569	6.404821258	5.623489969	6.019072212
